Year,HelsinkiWinter,HelsinkiSpring,HelsinkiSummer,HelsinkiFall,JyvaskylaWinter,JyvaskylaSpring,JyvaskylaSummer,JyvaskylaFall,SodankylaWinter,SodankylaSpring,SodankylaSummer,SodankylaFall
1997,-3.2,3.5,18.2,5.6,-7.7,0.9,16.7,2.6,-12.8,-2.9,14.1,-0.6
1998,-2.2,3.1,14.8,5.6,-6.7,0.2,13.7,3.1,-13.9,-3.7,12.0,-1.2
1999,-4.3,4.1,17.3,8.0,-8.6,2.3,15.8,5.0,-15.1,-1.3,13.0,2.3
2000,-1.7,5.2,15.6,8.5,-5.5,3.2,14.4,5.5,-12.5,0.0,12.9,3.0
2001,-1.9,4.0,16.8,7.5,-5.6,1.6,15.4,4.2,-10.9,-3.4,13.3,0.1
2002,-3.0,5.8,18.2,3.7,-7.1,4.0,16.8,0.2,-12.7,0.4,14.3,-3.1
2003,-6.9,3.4,16.9,6.7,-11.0,3.0,15.3,4.1,-15.0,0.5,13.7,0.8
2004,-3.2,4.9,15.7,6.9,-7.0,2.9,14.1,3.8,-11.9,-0.5,12.9,-0.3
2005,-1.2,3.3,16.8,8.7,-4.8,1.1,15.5,6.2,-8.5,-1.9,14.3,3.0
2006,-4.6,2.9,17.8,8.4,-8.4,0.8,16.5,5.2,-12.0,-1.1,14.2,-0.3
2007,-1.7,6.4,16.9,6.8,-6.6,4.7,15.2,4.1,-12.5,1.0,13.0,1.2
2008,1.4,5.7,15.8,7.8,-2.0,3.0,13.4,4.4,-7.4,-1.9,11.5,0.1
2009,-1.7,4.9,16.0,7.1,-5.4,3.4,14.4,4.0,-9.3,-0.2,12.9,1.2
2010,-7.4,4.8,18.1,5.9,-12.2,3.2,16.7,2.7,-14.7,-0.3,12.7,-0.8
2011,-7.3,4.8,18.3,9.1,-12.4,3.5,16.5,6.1,-15.9,1.0,14.5,3.2
2012,-3.2,5.3,15.8,7.8,-6.9,3.0,14.4,4.8,-10.7,-0.6,12.2,0.9
2013,-4.0,3.5,17.6,8.3,-7.6,1.7,15.9,5.1,-11.8,-1.5,14.2,1.2
2014,-1.1,6.2,17.2,7.6,-3.9,4.6,15.6,4.2,-9.1,0.4,14.3,0.3
2015,0.0,5.7,15.7,8.6,-3.9,3.9,14.2,5.9,-9.7,1.6,11.9,2.5
2016,-1.7,6.5,16.5,6.3,-5.7,4.8,15.0,3.3,-11.1,2.0,13.7,1.4
2017,-1.2,4.5,15.3,7.3,-4.4,2.1,13.6,4.5,-9.8,-1.8,12.4,0.7
2018,-2.1,5.3,18.3,8.5,-5.9,3.1,17.0,5.6,-12.2,0.0,14.9,2.2
2019,-1.7,5.8,17.4,7.1,-5.9,3.7,15.5,3.5,-12.3,0.0,12.8,-1.2
2020,2.3,5.7,17.2,9.6,-1.4,2.8,15.9,6.4,-8.0,-0.8,14.5,3.1
