ts,ecg
1365004403.9605,15157.6543
1365004403.97535,15175.52441
1365004403.97542,15152.01074
1365004403.98842,15161.33105
1365004403.98848,15158.80273
1365004403.99944,15152.01074
1365004404.01435,15169.09961
1365004404.01442,15153.68457
1365004404.02928,15164.20117
1365004404.02934,15172.0918
1365004404.04437,15159.70605
1365004404.04445,15183.08594
1365004404.05436,15167.86621
1365004404.06839,15170.80957
1365004404.06849,15186.44531
1365004404.0844,15165.78906
1365004404.08447,15183.15918
1365004404.09854,15170.87109
1365004404.09874,15169.51465
1365004404.11536,15185.74902
1365004404.11543,15164.75098
1365004404.12237,15179.94629
1365004404.13951,15171.04199
1365004404.13971,15160.79297
1365004404.15534,15174.82812
1365004404.15541,15156.35938
1365004404.16739,15162.41797
1365004404.17738,15169.53906
1365004404.17749,15157.59277
1365004404.18435,15174.36426
1365004404.19435,15155.15039
1365004404.20835,15150.3252
1365004404.20842,15153.79395
1365004404.22339,15128.41113
1365004404.22345,15137.60938
1365004404.24941,15140.11328
1365004404.25235,15155.62598
1365004404.2524,15172.86133
1365004404.26343,15149.46973
1365004404.26361,15155.65039
1365004404.27839,15156.43262
1365004404.27846,15140.66309
1365004404.29236,15160.41504
1365004404.30236,15143.17969
1365004404.30242,15159.41309
1365004404.31839,15161.45312
1365004404.31847,15151.19238
1365004404.33349,15166.09473
1365004404.33367,15114.93848
1365004404.3744,15043.79785
1365004404.37447,14992.80078
1365004404.37834,15101.02539
1365004404.38028,15720.80273
1365004404.38033,16307.69629
1365004404.38233,16267.30176
1365004404.38835,15958.05469
1365004404.40354,15558.61133
1365004404.40422,15306.39648
1365004404.4174,15169.29492
1365004404.41747,15126.35938
1365004404.42836,15130.35352
1365004404.44239,15101.16016
1365004404.44261,15094.58789
1365004404.45837,15105.61816
1365004404.45856,15083.38672
1365004404.47339,15094.19727
1365004404.47346,15075.33691
1365004404.48533,15066.87207
1365004404.49549,15075.12988
1365004404.49566,15044.92188
1365004404.50353,15050.05176
1365004404.51339,15023.22852
1365004404.52835,15008.03223
1365004404.52845,15011.72168
1365004404.5414,14968.50488
1365004404.54147,14964.38867
1365004404.55236,14944.12402
1365004404.56537,14924.65332
1365004404.56544,14928.97754
1365004404.58341,14901.96973
1365004404.58347,14908.63867
1365004404.59838,14919.38867
1365004404.59845,14918.79004
1365004404.61143,14962.69043
1365004404.61151,14983.56641
1365004404.62236,15021.11523
1365004404.63735,15057.85742
1365004404.63742,15057.00293
1365004404.6524,15090.8623
1365004404.65246,15088.61523
1365004404.66635,15096.93359
1365004404.66642,15117.96777
1365004404.67742,15103.44434
1365004404.69242,15114.30273
1365004404.6926,15110.02832
1365004404.70535,15099.48633
1365004404.70542,15128.11816
1365004404.72037,15107.8291
1365004404.72042,15106.88867
1365004404.73635,15113.02051
1365004404.74438,15095.90723
1365004404.74445,15109.46582
1365004404.75237,15096.75
1365004404.76235,15095.73633
1365004404.7774,15108.25684
1365004404.77749,15095.43066
1365004404.78929,15105.63086
1365004404.78935,15091.26562
1365004404.80038,15091.48535
1365004404.8174,15116.03809
1365004404.81748,15093.26855
1365004404.83537,15110.45508
1365004404.83544,15111.43262
1365004404.85036,15111.05371
1365004404.85044,15133.40723
1365004404.86143,15113.33789
1365004404.87038,15123.28125
1365004404.87045,15121.90039
1365004404.88564,15111.16406
1365004404.88578,15128.26465
1365004404.89936,15109.22168
1365004404.89944,15111.4082
1365004404.91441,15116.28223
1365004404.91447,15092.68262
1365004404.92447,15114.9502
1365004404.93939,15105.72852
1365004404.93946,15098.60645
1365004404.95438,15111.09082
1365004404.95444,15078.40332
1365004404.96937,15106.25293
1365004404.96944,15124.35645
1365004404.98639,15127.11621
1365004404.98645,15132.58887
1365004404.99538,15104.20117
1365004405.00943,15110.87109
1365004405.0095,15122.14551
1365004405.02534,15110.46777
1365004405.02542,15130.13379
1365004405.0394,15119.45801
1365004405.04831,15118.84668
1365004405.04836,15131.94141
1365004405.06537,15107.8291
1365004405.06543,15112.04297
1365004405.08044,15052.31152
1365004405.08051,14978.31348
1365004405.09537,15004.70996
1365004405.09544,15309.96289
1365004405.10841,15879.36523
1365004405.11934,16097.97656
1365004405.11942,15927.99316
1365004405.13438,15676.31543
1365004405.13449,15383.75391
1365004405.1504,15216.72559
1365004405.15048,15132.65039
1365004405.16534,15093.15918
1365004405.16541,15105.17871
1365004405.17235,15081.84766
1365004405.18938,15074.83691
1365004405.18946,15073.68848
1365004405.20452,15059.44531
1365004405.20458,15072.01465
1365004405.21842,15054.9873
1365004405.21858,15047.68262
1365004405.23337,15064.41699
1365004405.23344,15035.91992
1365004405.24441,15038.65527
1365004405.25936,15026.26953
1365004405.25943,15000.78906
1365004405.27543,15012.61328
1365004405.27551,14970.62988
1365004405.2915,14961.15137
1365004405.29455,14959.11133
1365004405.29496,14938.78613
1365004405.3134,14947.4707
1365004405.31347,14923.82227
1365004405.32936,14933.60645
1365004405.32958,14958.45215
1365004405.34339,14954.62891
1365004405.34345,14996.31836
1365004405.35739,15006.62793
1365004405.36737,15019.9668
1365004405.36758,15053.13086
1365004405.3833,15045.97266
1365004405.38346,15071.53809
1365004405.39837,15085.85449
1365004405.39844,15079.09961
1365004405.41241,15100.91504
1365004405.4224,15084.02246
1365004405.4225,15094.72266
1365004405.43841,15104.86133
1365004405.43847,15087.22266
1365004405.45245,15110.10156
1365004405.45262,15090.71582
1365004405.46837,15090.60645
1365004405.46844,15097.88574
1365004405.48234,15075.80176
1365004405.48241,15091.96191
1365004405.4944,15090.82617
1365004405.50943,15085.18262
1365004405.50951,15102.57715
1365004405.52934,15081.24902
1365004405.52941,15100.08496
1365004405.53334,15103.57812
1365004405.54735,15097.10449
1365004405.5474,15119.65332
1365004405.56337,15100.06055
1365004405.56344,15108.07324
1365004405.57742,15117.36914
1365004405.5775,15101.7334
1365004405.5924,15113.49707
1365004405.59247,15104.73828
1365004405.60542,15104.9707
1365004405.61535,15116.31836
1365004405.61543,15103.34668
1365004405.62339,15122.57227
1365004405.63337,15112.18945
1365004405.64845,15100.5127
1365004405.64863,15125.1748
1365004405.66237,15101.83203
1365004405.66244,15112.43457
1365004405.67239,15106.10645
1365004405.68737,15083.83887
1365004405.68744,15095.89551
1365004405.70244,15080.72363
1365004405.70254,15108.46387
1365004405.71861,15122.42578
1365004405.71873,15102.75977
1365004405.7304,15120.28809
1365004405.74343,15102.75977
1365004405.74349,15110.79785
1365004405.76239,15123.12207
1365004405.76261,15110.00391
1365004405.77743,15127.45898
1365004405.77752,15123.97754
1365004405.78837,15113.17969
1365004405.79432,15133.39551
1365004405.79446,15101.2334
1365004405.80038,15059.25
1365004405.81037,14979.35156
1365004405.82736,14970.33691
1365004405.82761,15402.08887
1365004405.84038,16111.04688
1365004405.84047,16369.38184
1365004405.85665,16110.94922
1365004405.85684,15728.97363
1365004405.86535,15408.30566
1365004405.88347,15188.81445
1365004405.88385,15131.74609
1365004405.89741,15123.21973
1365004405.89747,15089.20117
1365004405.90936,15093.19531
1365004405.90941,15085.62207
1365004405.92037,15075.16602
1365004405.93538,15084.21777
1365004405.93546,15058.63965
1365004405.95241,15068.28906
1365004405.95249,15059.32324
1365004405.96738,15035.5166
1365004405.96744,15046.43652
1365004405.98336,15018.9043
1365004405.98343,15013.13867
1365004405.98752,15006.09082
1365004406.00538,14967.2832
1365004406.00546,14964.74219
1365004406.02042,14935.21875
1365004406.02049,14923.0166
1365004406.03441,14917.27539
1365004406.03449,14887.97168
1365004406.04442,14906.48926
1365004406.06038,14895.53223
1365004406.06045,14906.62402
1365004406.07439,14952.39355
1365004406.07447,14964.93848
1365004406.08937,15014.58008
1365004406.08944,15039.76758
1365004406.10539,15057.2959
1365004406.10547,15093.83105
1365004406.11441,15087.91895
1365004406.13041,15105.06836
1365004406.13047,15116.81934
1365004406.14544,15101.19629
1365004406.14562,15128.97363
1365004406.15936,15116.77051
1365004406.16835,15123.52539
1365004406.16844,15136.68066
1365004406.17529,15111.75
1365004406.18542,15132.69922
1365004406.20065,15127.42188
1365004406.20083,15122.26758
1365004406.22035,15139.84473
1365004406.22042,15111.82324
1365004406.23239,15127.22656
1365004406.23246,15128.49707
1365004406.23535,15118.87109
1365004406.25336,15135.16602
1365004406.25343,15123.86719
1365004406.26951,15131.31836
1365004406.26969,15136.29004
1365004406.28446,15122.96387
1365004406.28465,15141.45703
1365004406.29437,15132.77246
1365004406.30847,15136.44922
1365004406.30864,15151.13086
1365004406.32337,15131.67285
1365004406.32344,15152.63379
1365004406.33829,15155.52832
1365004406.33835,15147.65039
1365004406.35337,15164.18945
1365004406.35344,15140.35742
1365004406.36435,15159.04688
1365004406.37945,15154.86914
1365004406.37963,15140.1748
1365004406.39341,15158.5459
1365004406.39349,15136.54688
1365004406.40734,15135.81348
1365004406.41837,15130.03613
1365004406.41844,15123.28125
1365004406.42537,15162.07617
1365004406.43437,15150.74023
1365004406.45039,15153.5498
1365004406.45046,15161.63574
1365004406.46437,15141.0293
1365004406.46445,15163.9082
1365004406.47741,15157.6416
1365004406.48856,15155.87109
1365004406.48866,15171.00488
1365004406.50364,15147.47949
1365004406.50378,15163.13867
1365004406.51838,15157.59277
1365004406.51846,15131.14746
1365004406.53237,15100.1582
1365004406.53243,14997.02734
1365004406.54347,15017.60938
1365004406.5584,15476.86914
1365004406.55849,16184.42285
1365004406.57345,16403.46289
1365004406.57384,16125.14355
1365004406.58853,15750.38672
1365004406.5886,15423.15918
1365004406.60237,15210.23926
1365004406.61337,15168.18359
1365004406.61361,15141.51855
1365004406.62881,15122.42578
1365004406.62904,15132.94336
1365004406.64348,15104.05469
1365004406.64412,15109.63672
1365004406.65737,15107.90234
1365004406.65744,15097.2998
1365004406.66837,15111.7627
1365004406.68439,15081.96973
1365004406.68446,15070.69531
1365004406.7033,15062.57227
1365004406.70335,15035.25977
1365004406.71536,15043.3584
1365004406.71544,15009.91406
1365004406.72741,15001.94922
